Date,Invoice Value
16-11-2013,7.31
17-11-2013,7.94
18-11-2013,9.06
19-11-2013,8.19
20-11-2013,7.52
21-11-2013,7.55
22-11-2013,7.71
23-11-2013,7.61
24-11-2013,8.5
25-11-2013,8.29
26-11-2013,7.89
27-11-2013,7.79
28-11-2013,7.66
29-11-2013,7.61
30-11-2013,7.53
01-12-2013,8.23
02-12-2013,8.01
03-12-2013,7.86
04-12-2013,7.7
05-12-2013,7.6
06-12-2013,7.74
07-12-2013,7.35
08-12-2013,8.03
09-12-2013,8.39
10-12-2013,7.82
11-12-2013,8.09
12-12-2013,7.77
13-12-2013,8.69
14-12-2013,7.75
15-12-2013,7.96
16-12-2013,8.62
17-12-2013,8
18-12-2013,7.62
19-12-2013,7.43
20-12-2013,7.46
21-12-2013,7.45
22-12-2013,8.25
23-12-2013,8.56
24-12-2013,8.32
25-12-2013,8.31
26-12-2013,7.76
27-12-2013,8.81
28-12-2013,9.12
29-12-2013,10.15
30-12-2013,9.27
31-12-2013,8.43
01-01-2014,8.14
02-01-2014,8.04
03-01-2014,8.23
04-01-2014,8.14
05-01-2014,9.22
06-01-2014,8.73
07-01-2014,8.51
08-01-2014,8.1
09-01-2014,7.95
10-01-2014,7.85
11-01-2014,7.66
12-01-2014,8.04
13-01-2014,8.8
14-01-2014,7.83
15-01-2014,7.78
16-01-2014,7.94
17-01-2014,7.67
18-01-2014,7.39
19-01-2014,7.51
20-01-2014,7.66
21-01-2014,7.79
22-01-2014,7.81
23-01-2014,7.82
24-01-2014,7.91
25-01-2014,7.7
26-01-2014,8.48
27-01-2014,9.15
28-01-2014,8.06
29-01-2014,8.07
30-01-2014,8.06
31-01-2014,8.05
01-02-2014,19.76
02-02-2014,8.1
03-02-2014,8.02
04-02-2014,7.62
05-02-2014,7.84
06-02-2014,7.77
07-02-2014,7.53
08-02-2014,7.33
09-02-2014,7.22
10-02-2014,7.42
11-02-2014,7.43
12-02-2014,7.4
13-02-2014,7.5
14-02-2014,7.4
15-02-2014,7.01
16-02-2014,7.12
17-02-2014,7.48
18-02-2014,7.57
19-02-2014,7.65
20-02-2014,7.47
21-02-2014,7.47
22-02-2014,7.21
23-02-2014,7.34
24-02-2014,7.48
25-02-2014,7.41
26-02-2014,7.4
27-02-2014,7.45
28-02-2014,7.42
01-03-2014,7.09
02-03-2014,7.21
03-03-2014,7.36
04-03-2014,7.3
05-03-2014,7.47
06-03-2014,7.87
07-03-2014,7.25
08-03-2014,7.08
09-03-2014,7.22
10-03-2014,7.33
11-03-2014,7.29
12-03-2014,7.3
13-03-2014,7.28
14-03-2014,7.3
15-03-2014,7.06
16-03-2014,7.18
17-03-2014,7.51
18-03-2014,7.87
19-03-2014,7.58
20-03-2014,7.37
21-03-2014,7.26
22-03-2014,7.06
23-03-2014,7.5
24-03-2014,7.44
25-03-2014,7.48
26-03-2014,7.48
27-03-2014,7.52
28-03-2014,7.66
29-03-2014,7.24
30-03-2014,7.23
31-03-2014,7.34
01-04-2014,7.42
02-04-2014,7.49
03-04-2014,7.32
04-04-2014,7.14
05-04-2014,7.01
06-04-2014,7.09
07-04-2014,7.3
08-04-2014,7.37
09-04-2014,7.51
10-04-2014,7.52
11-04-2014,7.37
12-04-2014,7.14
13-04-2014,7.16
14-04-2014,7.48
15-04-2014,7.51
16-04-2014,7.44
17-04-2014,7.47
18-04-2014,7.67
19-04-2014,7.84
20-04-2014,7.92
21-04-2014,7.83
22-04-2014,7.59
23-04-2014,7.63
24-04-2014,7.71
25-04-2014,7.53
26-04-2014,7.19
27-04-2014,7.26
28-04-2014,7.45
29-04-2014,7.48
30-04-2014,7.56
01-05-2014,7.44
02-05-2014,7.34
03-05-2014,7.14
04-05-2014,7.09
05-05-2014,7.27
06-05-2014,7.51
07-05-2014,7.5
08-05-2014,7.44
09-05-2014,7.4
10-05-2014,6.92
11-05-2014,6.98
12-05-2014,7.48
13-05-2014,23.41
14-05-2014,7.37
15-05-2014,7.33
16-05-2014,7.4
17-05-2014,7.04
18-05-2014,6.87
19-05-2014,6.98
20-05-2014,7.46
21-05-2014,7.49
22-05-2014,7.33
23-05-2014,7.1
24-05-2014,6.99
25-05-2014,6.93
26-05-2014,7.22
27-05-2014,7.48
28-05-2014,7.36
29-05-2014,7.24
30-05-2014,7.31
31-05-2014,7.14
01-06-2014,6.97
02-06-2014,7.19
03-06-2014,7.33
04-06-2014,7.33
05-06-2014,7.43
06-06-2014,7.39
07-06-2014,6.96
08-06-2014,7.02
09-06-2014,7.21
10-06-2014,7.51
11-06-2014,7.33
12-06-2014,7.5
13-06-2014,7.2
14-06-2014,7.08
15-06-2014,7.15
16-06-2014,7.26
17-06-2014,7.2
18-06-2014,7.29
19-06-2014,7.13
20-06-2014,7.08
21-06-2014,6.82
22-06-2014,6.95
23-06-2014,7.11
24-06-2014,7.2
25-06-2014,7.32
26-06-2014,7.1
27-06-2014,7.04
28-06-2014,7.3
29-06-2014,7.79
30-06-2014,7.81
01-07-2014,7.48
02-07-2014,7.36
03-07-2014,7.51
04-07-2014,7.38
05-07-2014,7.2
06-07-2014,7.22
07-07-2014,7.35
08-07-2014,7.32
09-07-2014,7.44
10-07-2014,7.36
11-07-2014,7.32
12-07-2014,7.21
13-07-2014,7.28
14-07-2014,7.54
15-07-2014,7.47
16-07-2014,7.83
17-07-2014,7.68
18-07-2014,7.73
19-07-2014,7.3
20-07-2014,7.28
21-07-2014,7.49
22-07-2014,7.62
23-07-2014,34.69
24-07-2014,7.54
25-07-2014,7.44
26-07-2014,7.27
27-07-2014,7.36
28-07-2014,7.66
29-07-2014,7.84
30-07-2014,8.37
31-07-2014,8.17
01-08-2014,7.81
02-08-2014,7.58
03-08-2014,7.66
04-08-2014,7.87
05-08-2014,7.78
06-08-2014,7.75
07-08-2014,7.71
08-08-2014,8.21
09-08-2014,7.71
10-08-2014,7.73
11-08-2014,7.97
12-08-2014,8.4
13-08-2014,8.29
14-08-2014,7.99
15-08-2014,8.67
16-08-2014,7.78
17-08-2014,7.79
18-08-2014,7.95
19-08-2014,8.17
20-08-2014,7.81
21-08-2014,7.8
22-08-2014,8.05
23-08-2014,7.97
24-08-2014,7.87
25-08-2014,8.16
26-08-2014,8.04
27-08-2014,7.96
28-08-2014,7.84
29-08-2014,7.91
30-08-2014,7.95
31-08-2014,8.08
01-09-2014,7.98
02-09-2014,8.13
03-09-2014,7.95
04-09-2014,8.11
05-09-2014,8.21
06-09-2014,8.05
07-09-2014,8.92
08-09-2014,8.62
09-09-2014,8.52
10-09-2014,8.01
11-09-2014,43.06
12-09-2014,8.1
13-09-2014,7.99
14-09-2014,8.43
15-09-2014,9.74
16-09-2014,10.18
17-09-2014,8.36
18-09-2014,9.95
19-09-2014,8.76
20-09-2014,8.25
21-09-2014,8.08
22-09-2014,8.17
23-09-2014,7.89
24-09-2014,9.1
25-09-2014,9.41
26-09-2014,9.16
27-09-2014,8.49
28-09-2014,8.43
29-09-2014,8.28
30-09-2014,8.31
01-10-2014,8.79
02-10-2014,10.28
03-10-2014,9.08
04-10-2014,8.7
05-10-2014,9.09
06-10-2014,8.86
07-10-2014,8.54
08-10-2014,8.45
09-10-2014,8.25
10-10-2014,8.11
11-10-2014,8.14
12-10-2014,8.73
13-10-2014,9.38
14-10-2014,8.58
15-10-2014,8.24
16-10-2014,8.12
17-10-2014,8.06
18-10-2014,7.83
19-10-2014,8.9
20-10-2014,8.73
21-10-2014,8.56
22-10-2014,8.22
23-10-2014,8.15
24-10-2014,8
25-10-2014,7.79
26-10-2014,8.81
27-10-2014,9
28-10-2014,8.59
29-10-2014,8.28
30-10-2014,8.47
31-10-2014,8.49
01-11-2014,8.41
02-11-2014,10.56
03-11-2014,9.12
04-11-2014,8.73
05-11-2014,8.53
06-11-2014,8.51
07-11-2014,8.28
08-11-2014,9.12
09-11-2014,8.59
10-11-2014,8.32
11-11-2014,8.66
12-11-2014,8.93
13-11-2014,8.44
14-11-2014,9.23
15-11-2014,9.26
16-11-2014,9.27
17-11-2014,8.39
18-11-2014,8.59
19-11-2014,8.42
20-11-2014,8.34
21-11-2014,9.06
22-11-2014,9.3
23-11-2014,8.76
24-11-2014,8.51
25-11-2014,8.4
26-11-2014,8.52
27-11-2014,8.38
28-11-2014,9.09
29-11-2014,9.76
30-11-2014,8.93
01-12-2014,8.53
02-12-2014,8.59
03-12-2014,9.8
04-12-2014,8.66
05-12-2014,9.17
06-12-2014,9.2
07-12-2014,9.33
08-12-2014,8.68
09-12-2014,8.5
10-12-2014,8.29
11-12-2014,8.3
12-12-2014,9.16
13-12-2014,9.55
14-12-2014,9.02
15-12-2014,8.78
16-12-2014,8.39
17-12-2014,8.33
18-12-2014,8.54
19-12-2014,8.71
20-12-2014,8.73
21-12-2014,8.38
22-12-2014,8.32
23-12-2014,8.46
24-12-2014,8.6
25-12-2014,8.92
26-12-2014,9.49
27-12-2014,9.21
28-12-2014,8.68
29-12-2014,8.6
30-12-2014,8.61
31-12-2014,8.66
01-01-2015,8.78
02-01-2015,11.01
03-01-2015,9.75
04-01-2015,9.23
05-01-2015,9.02
06-01-2015,8.94
07-01-2015,9.01
08-01-2015,11.48
09-01-2015,10.26
10-01-2015,9.69
11-01-2015,9.44
12-01-2015,9.35
13-01-2015,9.23
14-01-2015,9.3
15-01-2015,10.24
16-01-2015,9.92
17-01-2015,10.11
18-01-2015,9.86
19-01-2015,10.12
20-01-2015,10
21-01-2015,11.19
22-01-2015,10.46
23-01-2015,9.65
24-01-2015,9.12
25-01-2015,8.8
26-01-2015,8.45
27-01-2015,8.27
28-01-2015,8.22
29-01-2015,8.24
30-01-2015,8.01
31-01-2015,8.05
01-02-2015,7.93
02-02-2015,7.75
03-02-2015,7.87
04-02-2015,7.94
05-02-2015,8.31
06-02-2015,7.83
07-02-2015,7.87
08-02-2015,7.76
09-02-2015,7.73
10-02-2015,7.78
11-02-2015,7.8
12-02-2015,7.75
13-02-2015,8.07
14-02-2015,8.73
15-02-2015,7.65
16-02-2015,7.6
17-02-2015,7.75
18-02-2015,7.77
19-02-2015,7.63
20-02-2015,7.54
21-02-2015,7.6
22-02-2015,7.58
23-02-2015,7.51
24-02-2015,7.67
25-02-2015,7.71
26-02-2015,7.7
27-02-2015,7.64
28-02-2015,7.56
01-03-2015,7.4
02-03-2015,7.47
03-03-2015,7.61
04-03-2015,7.8
05-03-2015,8.03
06-03-2015,7.73
07-03-2015,7.64
08-03-2015,7.56
09-03-2015,7.49
10-03-2015,7.51
11-03-2015,7.65
12-03-2015,7.61
13-03-2015,7.45
14-03-2015,7.37
15-03-2015,7.45
16-03-2015,7.48
17-03-2015,7.99
18-03-2015,7.82
19-03-2015,7.66
20-03-2015,7.56
21-03-2015,7.58
22-03-2015,7.45
23-03-2015,7.5
24-03-2015,7.52
25-03-2015,7.61
26-03-2015,7.59
27-03-2015,7.68
28-03-2015,7.78
29-03-2015,7.55
30-03-2015,7.6
31-03-2015,7.65
01-04-2015,7.67
02-04-2015,7.86
03-04-2015,8.1
04-04-2015,8.92
05-04-2015,8.4
06-04-2015,7.99
07-04-2015,8
08-04-2015,8.07
09-04-2015,7.98
10-04-2015,7.85
11-04-2015,7.79
12-04-2015,7.44
13-04-2015,7.54
14-04-2015,7.64
15-04-2015,7.65
16-04-2015,7.51
17-04-2015,7.68
18-04-2015,7.99
19-04-2015,7.44
20-04-2015,7.38
21-04-2015,7.61
22-04-2015,7.59
23-04-2015,7.62
24-04-2015,7.3
25-04-2015,7.49
26-04-2015,7.27
27-04-2015,7.35
28-04-2015,7.47
29-04-2015,7.36
30-04-2015,7.23
01-05-2015,7.4
02-05-2015,7.48
03-05-2015,7.41
04-05-2015,7.35
05-05-2015,7.41
06-05-2015,7.38
07-05-2015,7.38
08-05-2015,7.21
09-05-2015,7.09
10-05-2015,7.11
11-05-2015,7.06
12-05-2015,7.12
13-05-2015,7.19
14-05-2015,7.25
15-05-2015,7.42
16-05-2015,7.56
17-05-2015,7.43
18-05-2015,7.29
19-05-2015,7.94
20-05-2015,9.02
21-05-2015,7.23
22-05-2015,7.03
23-05-2015,6.8
24-05-2015,5.45
25-05-2015,5.32
26-05-2015,5.26
27-05-2015,6.31
28-05-2015,6.65
29-05-2015,7.22
30-05-2015,7.39
31-05-2015,7.14
01-06-2015,7.04
02-06-2015,7.21
03-06-2015,7.03
04-06-2015,7.01
05-06-2015,6.92
06-06-2015,6.88
07-06-2015,6.14
08-06-2015,7.21
09-06-2015,7.14
10-06-2015,7.05
11-06-2015,7.11
12-06-2015,6.93
13-06-2015,6.81
14-06-2015,7.36
15-06-2015,7.13
16-06-2015,7.08
17-06-2015,7.24
18-06-2015,7.25
19-06-2015,7.65
20-06-2015,7.46
21-06-2015,7.31
22-06-2015,7.24
23-06-2015,7.28
24-06-2015,7.47
25-06-2015,7.45
26-06-2015,8.13
27-06-2015,7.77
28-06-2015,7.52
29-06-2015,7.55
30-06-2015,7.95
01-07-2015,7.8
02-07-2015,7.8
03-07-2015,7.9
04-07-2015,7.86
05-07-2015,7.94
06-07-2015,7.67
07-07-2015,8.14
08-07-2015,8.69
09-07-2015,8.45
10-07-2015,8.06
11-07-2015,8.01
12-07-2015,7.88
13-07-2015,7.86
14-07-2015,8.14
15-07-2015,7.92
16-07-2015,7.97
17-07-2015,7.97
18-07-2015,8.13
19-07-2015,7.8
20-07-2015,8.31
21-07-2015,8.28
22-07-2015,8.74
23-07-2015,8.59
24-07-2015,8.44
25-07-2015,8.51
26-07-2015,8.36
27-07-2015,8.28
28-07-2015,8.44
29-07-2015,8.31
30-07-2015,8.08
31-07-2015,8.19
01-08-2015,8.86
02-08-2015,8.07
03-08-2015,8.14
04-08-2015,8.19
05-08-2015,8.12
06-08-2015,8.16
07-08-2015,8.2
08-08-2015,8.29
09-08-2015,8.08
10-08-2015,8.25
11-08-2015,8.22
12-08-2015,8.45
13-08-2015,8.55
14-08-2015,8.63
15-08-2015,9.13
16-08-2015,8.34
17-08-2015,9.87
18-08-2015,9.27
19-08-2015,8.77
20-08-2015,8.49
21-08-2015,8.62
22-08-2015,8.95
23-08-2015,9.08
24-08-2015,9.5
25-08-2015,11.43
26-08-2015,9.3
27-08-2015,8.62
28-08-2015,8.48
29-08-2015,8.33
30-08-2015,8.3
31-08-2015,9.33
01-09-2015,9.42
02-09-2015,8.92
03-09-2015,8.45
04-09-2015,8.31
05-09-2015,8.27
06-09-2015,8.2
07-09-2015,9.01
08-09-2015,9.31
09-09-2015,9.13
10-09-2015,8.45
11-09-2015,8.25
12-09-2015,8.32
13-09-2015,8.1
14-09-2015,9.16
15-09-2015,8.85
16-09-2015,9.54
17-09-2015,8.49
18-09-2015,8.56
19-09-2015,8.35
20-09-2015,8.1
21-09-2015,9.15
22-09-2015,10.08
23-09-2015,8.72
24-09-2015,8.34
25-09-2015,8.26
26-09-2015,8.26
27-09-2015,8.01
28-09-2015,8.53
29-09-2015,8.86
30-09-2015,9.79
01-10-2015,8.5
02-10-2015,8.41
03-10-2015,8.94
04-10-2015,8.87
05-10-2015,9.01
06-10-2015,9.13
07-10-2015,10.25
08-10-2015,8.59
09-10-2015,8.65
10-10-2015,8.78
11-10-2015,8.33
12-10-2015,9.07
13-10-2015,9.52
14-10-2015,8.71
15-10-2015,8.37
16-10-2015,8.38
17-10-2015,8.4
18-10-2015,8.18
19-10-2015,8.88
20-10-2015,9.21
21-10-2015,8.71
22-10-2015,8.32
23-10-2015,8.56
24-10-2015,8.6
25-10-2015,8.73
26-10-2015,9.54
27-10-2015,10.16
28-10-2015,8.82
29-10-2015,8.31
30-10-2015,8.71
31-10-2015,8.74
01-11-2015,8.39
02-11-2015,9.23
03-11-2015,10.26
04-11-2015,8.91
05-11-2015,8.65
06-11-2015,8.39
07-11-2015,8.31
08-11-2015,8.22
09-11-2015,9.28
10-11-2015,9.92
11-11-2015,9.17
12-11-2015,8.75
13-11-2015,8.82
14-11-2015,9.76
15-11-2015,8.57
16-11-2015,8.93
17-11-2015,9.13
18-11-2015,9.72
19-11-2015,8.78
20-11-2015,8.49
21-11-2015,8.54
22-11-2015,8.14
23-11-2015,9.11
24-11-2015,9.12
25-11-2015,9.68
26-11-2015,8.8
27-11-2015,8.55
28-11-2015,8.32
29-11-2015,8.1
30-11-2015,8.92
01-12-2015,9.38
02-12-2015,8.9
03-12-2015,8.88
04-12-2015,8.44
05-12-2015,8.6
06-12-2015,9.01
07-12-2015,9.4
08-12-2015,9.99
09-12-2015,9.06
10-12-2015,8.97
11-12-2015,8.95
12-12-2015,9.19
13-12-2015,9.1
14-12-2015,10.88
15-12-2015,9.38
16-12-2015,9.2
17-12-2015,8.62
18-12-2015,8.61
19-12-2015,8.7
20-12-2015,8.72
21-12-2015,9.5
22-12-2015,9.35
23-12-2015,8.78
24-12-2015,8.7
25-12-2015,8.68
26-12-2015,8.48
27-12-2015,8.41
28-12-2015,8.97
29-12-2015,9.55
30-12-2015,8.79
31-12-2015,8.61
01-01-2016,8.49
02-01-2016,8.45
03-01-2016,8.19
04-01-2016,8.38
05-01-2016,9.07
06-01-2016,8.36
07-01-2016,8.35
08-01-2016,8.54
09-01-2016,8.43
10-01-2016,8.54
11-01-2016,8.99
12-01-2016,9.78
13-01-2016,8.64
14-01-2016,8.28
15-01-2016,8.27
16-01-2016,8.16
17-01-2016,7.91
18-01-2016,7.84
19-01-2016,8.02
20-01-2016,7.97
21-01-2016,8.48
22-01-2016,7.96
23-01-2016,8.02
24-01-2016,7.55
25-01-2016,7.52
26-01-2016,7.87
27-01-2016,7.68
28-01-2016,7.73
29-01-2016,7.78
30-01-2016,7.66
31-01-2016,7.48
01-02-2016,7.6
02-02-2016,7.79
03-02-2016,7.75
04-02-2016,7.76
05-02-2016,7.7
06-02-2016,7.66
07-02-2016,7.35
08-02-2016,7.54
09-02-2016,7.75
10-02-2016,7.69
11-02-2016,7.77
12-02-2016,7.61
13-02-2016,7.49
14-02-2016,7.56
15-02-2016,7.57
16-02-2016,7.53
17-02-2016,7.66
18-02-2016,7.42
19-02-2016,7.44
20-02-2016,7.32
21-02-2016,7.17
22-02-2016,7.25
23-02-2016,7.41
24-02-2016,7.53
25-02-2016,7.64
26-02-2016,8.27
27-02-2016,8.33
28-02-2016,7.78
29-02-2016,7.48
01-03-2016,7.59
02-03-2016,7.67
03-03-2016,7.6
04-03-2016,7.68
05-03-2016,7.48
06-03-2016,7.26
07-03-2016,7.39
08-03-2016,7.43
09-03-2016,7.56
10-03-2016,7.49
11-03-2016,7.43
12-03-2016,8.22
13-03-2016,8.49
14-03-2016,8.14
15-03-2016,8.12
16-03-2016,8.21
17-03-2016,8.52
18-03-2016,8.57
19-03-2016,8.05
20-03-2016,7.49
21-03-2016,7.57
22-03-2016,8
23-03-2016,8.01
24-03-2016,7.91
25-03-2016,7.88
26-03-2016,7.85
27-03-2016,7.51
28-03-2016,7.66
29-03-2016,8.03
30-03-2016,8.1
31-03-2016,8.18
01-04-2016,8.33
02-04-2016,8.64
03-04-2016,8.46
04-04-2016,8.01
05-04-2016,7.8
06-04-2016,7.71
07-04-2016,7.78
08-04-2016,7.81
09-04-2016,7.56
10-04-2016,7.26
11-04-2016,7.36
12-04-2016,7.47
13-04-2016,7.53
14-04-2016,7.63
15-04-2016,7.63
16-04-2016,7.44
17-04-2016,7.12
18-04-2016,7.37
19-04-2016,7.54
20-04-2016,7.51
21-04-2016,7.59
22-04-2016,7.55
23-04-2016,7.37
24-04-2016,7.11
25-04-2016,7.24
26-04-2016,7.49
27-04-2016,7.61
28-04-2016,8.22
29-04-2016,7.67
30-04-2016,7.33
01-05-2016,7.09
02-05-2016,7.14
03-05-2016,7.4
04-05-2016,7.43
05-05-2016,7.44
06-05-2016,7.55
07-05-2016,7.32
08-05-2016,7.1
09-05-2016,7.11
10-05-2016,7.48
11-05-2016,7.55
12-05-2016,7.33
13-05-2016,7.22
14-05-2016,7.36
15-05-2016,7.19
16-05-2016,7.25
17-05-2016,7.45
18-05-2016,7.2
19-05-2016,7.42
20-05-2016,7.38
21-05-2016,7.4
22-05-2016,7.52
23-05-2016,7.64
24-05-2016,7.53
25-05-2016,7.32
26-05-2016,7.38
27-05-2016,7.75
28-05-2016,7.68
29-05-2016,7.27
30-05-2016,7.58
31-05-2016,7.57
01-06-2016,7.56
02-06-2016,7.63
03-06-2016,7.5
04-06-2016,7.42
05-06-2016,7.39
06-06-2016,7.21
07-06-2016,7.95
08-06-2016,7.6
09-06-2016,7.56
10-06-2016,7.61
11-06-2016,9
12-06-2016,8.74
13-06-2016,8.27
14-06-2016,7.78
15-06-2016,7.58
16-06-2016,7.61
17-06-2016,8.29
18-06-2016,7.62
19-06-2016,7.36
20-06-2016,7.69
21-06-2016,7.75
22-06-2016,7.78
23-06-2016,8.06
24-06-2016,7.9
25-06-2016,7.8
